index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
1,1,1,1.0012,56.6359,Town10,env10,1,?,43.0403,face,0
2,1,1,1.0012,56.6359,Town10,env10,2,?,12.7132,animal,0
3,1,1,1.0012,56.6359,Town10,env10,3,?,0.8785,fruitveg,0
4,1,2,57.6831,30.8135,Town12,env12,1,deschanel,23.4617,face,1
5,1,2,57.6831,30.8135,Town12,env12,2,stapler,2.2075,tool,1
6,1,2,57.6831,30.8135,Town12,env12,3,apple,5.1425,fruitveg,1
7,1,3,88.5438,28.4297,Town7,env7,1,?,26.3102,face,0
8,1,3,88.5438,28.4297,Town7,env7,2,?,1.3744,animal,0
9,1,3,88.5438,28.4297,Town7,env7,3,?,0.7433,tool,0
10,1,4,117.0203,85.1451,Town2,env2,1,zuckerberg,77.8803,face,1
11,1,4,117.0203,85.1451,Town2,env2,2,cucumber,5.1518,fruitveg,1
12,1,4,117.0203,85.1451,Town2,env2,3,scissors,2.1111,tool,1
13,1,5,202.2122,27.1781,Town5,env5,1,bananas,12.9873,face,0
14,1,5,202.2122,27.1781,Town5,env5,2,beyonce,4.9189,animal,0
15,1,5,202.2122,27.1781,Town5,env5,3,?,9.2699,fruitveg,0
16,1,6,229.4379,26.1198,Town11,env11,1,drill,11.2755,tool,0
17,1,6,229.4379,26.1198,Town11,env11,2,depp,7.7564,face,1
18,1,6,229.4379,26.1198,Town11,env11,3,dog,7.086,fruitveg,0
19,1,7,255.6046,11.8505,Town3,env3,1,?,10.3625,face,0
20,1,7,255.6046,11.8505,Town3,env3,2,?,0.7588,animal,0
21,1,7,255.6046,11.8505,Town3,env3,3,?,0.7273,tool,0
22,1,8,267.5019,43.7956,Town8,env8,1,duck,8.9491,face,0
23,1,8,267.5019,43.7956,Town8,env8,2,?,31.0367,animal,0
24,1,8,267.5019,43.7956,Town8,env8,3,?,3.8079,fruitveg,0
25,1,9,311.3443,66.1229,Town9,env9,1,?,64.8331,face,0
26,1,9,311.3443,66.1229,Town9,env9,2,?,0.5925,fruitveg,0
27,1,9,311.3443,66.1229,Town9,env9,3,?,0.6954,tool,0
28,1,10,377.5146,33.3788,Town4,env4,1,taylor swift,19.05,face,0
29,1,10,377.5146,33.3788,Town4,env4,2,bear,3.6077,animal,0
30,1,10,377.5146,33.3788,Town4,env4,3,?,10.7194,tool,0
31,1,11,410.9407,32.2118,Town6,env6,1,?,30.9068,face,0
32,1,11,410.9407,32.2118,Town6,env6,2,?,0.6228,animal,0
33,1,11,410.9407,32.2118,Town6,env6,3,?,0.6804,tool,0
34,1,12,443.1995,11.6276,Town1,env1,1,?,10.4899,face,0
35,1,12,443.1995,11.6276,Town1,env1,2,?,0.5674,animal,0
36,1,12,443.1995,11.6276,Town1,env1,3,?,0.5686,fruitveg,0
37,2,1,1.0012,33.4446,Town4,env4,1,natalie portman,18.0123,face,1
38,2,1,1.0012,33.4446,Town4,env4,2,bear,14.5484,animal,0
39,2,1,1.0012,33.4446,Town4,env4,3,saw,0.8798,tool,1
40,2,2,34.4955,29.087,Town3,env3,1,emma watson,21.1034,face,1
41,2,2,34.4955,29.087,Town3,env3,2,bear,4.1823,animal,1
42,2,2,34.4955,29.087,Town3,env3,3,screwdriver,3.7995,tool,1
43,2,3,63.632,9.9826,Town12,env12,1,deschanel,5.431,face,1
44,2,3,63.632,9.9826,Town12,env12,2,apple,2.6234,fruitveg,1
45,2,3,63.632,9.9826,Town12,env12,3,stapler,1.9263,tool,1
46,2,4,73.6644,41.3646,Town9,env9,1,mccartney,16.0794,face,1
47,2,4,73.6644,41.3646,Town9,env9,2,?,24.652,fruitveg,0
48,2,4,73.6644,41.3646,Town9,env9,3,?,0.6311,tool,0
49,2,5,115.0792,28.3248,Town6,env6,1,taylor swift,7.397,face,1
50,2,5,115.0792,28.3248,Town6,env6,2,cow,2.4234,animal,1
51,2,5,115.0792,28.3248,Town6,env6,3,drill,18.5025,tool,0
52,2,6,143.4545,20.5098,Town10,env10,1,grapes,4.7897,fruitveg,1
53,2,6,143.4545,20.5098,Town10,env10,2,katy perry,3.2231,face,1
54,2,6,143.4545,20.5098,Town10,env10,3,drill,12.4952,animal,0
55,2,7,164.0138,11.8751,Town1,env1,1,lettuce,3.0531,fruitveg,1
56,2,7,164.0138,11.8751,Town1,env1,2,zebra,5.8535,animal,1
57,2,7,164.0138,11.8751,Town1,env1,3,clooney,2.9667,face,1
58,2,8,175.9383,28.0671,Town7,env7,1,sheldon,6.2864,face,1
59,2,8,175.9383,28.0671,Town7,env7,2,?,21.1796,animal,0
60,2,8,175.9383,28.0671,Town7,env7,3,?,0.5993,tool,0
