index,run,trial,onset,duration,cond,rep,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0018,1.6001,virtualtown,0,NR,0,999.0000,NR,0,999.0000
2,1,2,13.6022,1.5986,virtualtown,0,NR,0,999.0000,0,1,0.0579
3,1,3,15.2010,1.6000,virtualtown,0,NR,0,999.0000,0,1,0.0217
4,1,4,16.8012,1.6001,virtualtown,1,1,1,0.5156,NR,0,999.0000
5,1,5,18.4015,1.5996,virtualtown,0,NR,0,999.0000,0,1,0.0483
6,1,6,20.0014,1.5987,virtualtown,1,NR,0,999.0000,1,1,0.2050
7,1,7,21.6002,1.6011,virtualtown,0,NR,0,999.0000,1,0,0.4296
8,1,8,23.2015,1.5989,virtualtown,1,NR,0,999.0000,1,1,0.7333
9,1,9,24.8006,1.6007,virtualtown,0,NR,0,999.0000,1,0,0.2928
10,1,10,26.4016,1.5985,virtualtown,0,NR,0,999.0000,NR,0,999.0000
11,1,11,28.0144,9.9865,rest,0,0,1,0.4302,NR,1,0.0000
12,1,12,38.0011,1.6002,tool,0,NR,0,999.0000,0,1,0.7585
13,1,13,39.6015,1.5995,tool,0,NR,0,999.0000,0,1,0.3182
14,1,14,41.2012,1.5993,tool,1,NR,0,999.0000,1,1,0.2073
15,1,15,42.8007,1.6005,tool,0,NR,0,999.0000,0,1,0.0060
16,1,16,44.4014,1.5995,tool,0,0,1,0.5354,NR,0,999.0000
17,1,17,46.0011,1.6001,tool,0,NR,0,999.0000,0,1,0.1127
18,1,18,47.6014,1.5996,tool,1,NR,0,999.0000,1,1,0.0525
19,1,19,49.2013,1.5999,tool,0,NR,0,999.0000,0,1,0.3588
20,1,20,50.8013,1.5998,tool,1,NR,0,999.0000,1,1,0.0096
21,1,21,52.4014,1.5990,tool,0,0,1,0.5736,NR,0,999.0000
22,1,22,54.0105,9.9896,rest,0,NR,1,999.0000,NR,1,0.0000
23,1,23,64.0003,1.6003,animal,0,NR,0,999.0000,0,1,0.0914
24,1,24,65.6008,1.5996,animal,0,NR,0,999.0000,0,1,0.0282
25,1,25,67.2006,1.5999,animal,0,0,1,0.5036,NR,0,999.0000
26,1,26,68.8008,1.5995,animal,1,1,1,0.4544,NR,0,999.0000
27,1,27,70.4005,1.6007,animal,0,NR,0,999.0000,NR,0,999.0000
28,1,28,72.0014,1.5996,animal,1,NR,0,999.0000,1,1,0.1967
29,1,29,73.6012,1.5991,animal,0,0,1,0.5467,NR,0,999.0000
30,1,30,75.2005,1.6008,animal,0,NR,0,999.0000,0,1,0.0664
31,1,31,76.8014,1.5998,animal,0,0,1,0.5670,NR,0,999.0000
32,1,32,78.4014,1.5987,animal,1,NR,0,999.0000,1,1,0.0704
33,1,33,80.0139,9.9871,rest,0,NR,1,999.0000,NR,1,0.0000
34,1,34,90.0012,1.6000,fruitveg,0,NR,0,999.0000,0,1,0.1438
35,1,35,91.6014,1.5999,fruitveg,0,NR,0,999.0000,0,1,0.1420
36,1,36,93.2016,1.5999,fruitveg,1,1,1,0.5515,NR,0,999.0000
37,1,37,94.8017,1.5994,fruitveg,0,0,1,0.5606,NR,0,999.0000
38,1,38,96.4012,1.5992,fruitveg,0,0,1,0.5088,NR,0,999.0000
39,1,39,98.0006,1.5996,fruitveg,0,0,1,0.5609,NR,0,999.0000
40,1,40,99.6004,1.5997,fruitveg,0,0,1,0.4882,NR,0,999.0000
41,1,41,101.2003,1.6010,fruitveg,1,1,1,0.4977,NR,0,999.0000
42,1,42,102.8016,1.5988,fruitveg,0,NR,0,999.0000,0,1,0.0213
43,1,43,104.4006,1.6002,fruitveg,1,1,1,0.5707,NR,0,999.0000
44,1,44,106.0117,9.9890,rest,0,NR,1,999.0000,NR,1,0.0000
45,1,45,116.0009,1.5995,animal,0,0,1,0.4525,NR,0,999.0000
46,1,46,117.6006,1.6004,animal,0,0,1,0.4337,NR,0,999.0000
47,1,47,119.2012,1.5996,animal,1,1,1,0.3588,NR,0,999.0000
48,1,48,120.8010,1.5996,animal,0,0,1,0.5367,NR,0,999.0000
49,1,49,122.4008,1.6004,animal,1,0,0,0.4710,NR,0,999.0000
50,1,50,124.0014,1.5995,animal,0,NR,0,999.0000,0,1,0.0183
51,1,51,125.6010,1.5992,animal,0,NR,0,999.0000,0,1,0.5423
52,1,52,127.2004,1.6006,animal,0,NR,0,999.0000,0,1,0.2055
53,1,53,128.8012,1.6001,animal,0,NR,0,999.0000,0,1,0.0068
54,1,54,130.4015,1.5999,animal,1,1,1,0.5683,NR,0,999.0000
55,1,55,132.0137,9.9871,rest,0,NR,1,999.0000,NR,1,0.0000
56,1,56,142.0011,1.6002,face,0,NR,0,999.0000,0,1,0.2977
57,1,57,143.6015,1.5987,face,0,NR,0,999.0000,0,1,0.2993
58,1,58,145.2004,1.6009,face,1,NR,0,999.0000,1,1,0.0283
59,1,59,146.8015,1.5995,face,0,NR,0,999.0000,0,1,0.0481
60,1,60,148.4012,1.5993,face,1,NR,0,999.0000,1,1,0.1166
61,1,61,150.0008,1.5998,face,0,0,1,0.5532,NR,0,999.0000
62,1,62,151.6008,1.6002,face,0,0,1,0.5889,NR,0,999.0000
63,1,63,153.2012,1.5996,face,0,NR,0,999.0000,0,1,0.2143
64,1,64,154.8010,1.5997,face,0,NR,0,999.0000,0,1,0.2144
65,1,65,156.4009,1.5991,face,1,NR,0,999.0000,1,1,0.0581
66,1,66,158.0128,9.9887,rest,0,NR,1,999.0000,NR,1,0.0000
67,1,67,168.0017,1.5991,animal,0,NR,0,999.0000,0,1,0.0970
68,1,68,169.6009,1.6004,animal,0,0,1,0.5812,NR,0,999.0000
69,1,69,171.2015,1.5997,animal,0,0,1,0.5123,NR,0,999.0000
70,1,70,172.8015,1.5996,animal,1,1,1,0.4257,NR,0,999.0000
71,1,71,174.4012,1.6001,animal,0,0,1,0.3755,NR,0,999.0000
72,1,72,176.0015,1.5988,animal,1,NR,0,999.0000,1,1,0.0337
73,1,73,177.6005,1.5998,animal,0,0,1,0.5401,NR,0,999.0000
74,1,74,179.2006,1.5998,animal,0,0,1,0.5843,NR,0,999.0000
75,1,75,180.8006,1.6003,animal,0,0,1,0.4326,NR,0,999.0000
76,1,76,182.4011,1.6002,animal,1,1,1,0.3603,NR,0,999.0000
77,1,77,184.0134,9.9873,rest,0,NR,1,999.0000,NR,1,0.0000
78,1,78,194.0010,1.5993,virtualtown,0,NR,0,999.0000,0,1,0.2209
79,1,79,195.6005,1.5999,virtualtown,0,0,1,0.5667,NR,0,999.0000
80,1,80,197.2006,1.6005,virtualtown,1,NR,0,999.0000,1,1,0.5711
81,1,81,198.8013,1.5997,virtualtown,0,0,1,0.4379,NR,0,999.0000
82,1,82,200.4012,1.5990,virtualtown,0,NR,0,999.0000,0,1,0.1021
83,1,83,202.0004,1.6000,virtualtown,1,NR,0,999.0000,1,1,0.0509
