index,run,trial,onset,duration,town,pic,itemNum,resp,respRT
1,1,1,1.0014,44.5464,Town1,env1,1,cucumber,31.8562
2,1,1,1.0014,44.5464,Town1,env1,2,mark,4.6875
3,1,1,1.0014,44.5464,Town1,env1,3,scissors,7.9988
4,1,2,45.5945,38.3683,Town12,env12,1,apple,32.8006
5,1,2,45.5945,38.3683,Town12,env12,2,stapler,3.6874
6,1,2,45.5945,38.3683,Town12,env12,3,zooey,1.8785
7,1,3,84.0100,18.4180,Town3,env3,1,?,17.1782
8,1,3,84.0100,18.4180,Town3,env3,2,?,0.6945
9,1,3,84.0100,18.4180,Town3,env3,3,?,0.5437
10,1,4,102.4743,42.1195,Town9,env9,1,sherlock,37.0459
11,1,4,102.4743,42.1195,Town9,env9,2,flamengo,1.9772
12,1,4,102.4743,42.1195,Town9,env9,3,watermelon,3.0946
13,1,5,144.6401,21.9286,Town7,env7,1,?,21.0235
14,1,5,144.6401,21.9286,Town7,env7,2,?,0.4559
15,1,5,144.6401,21.9286,Town7,env7,3,?,0.4475
16,1,6,166.6207,7.9650,Town8,env8,1,dog,4.5555
17,1,6,166.6207,7.9650,Town8,env8,2,lemon,1.1432
18,1,6,166.6207,7.9650,Town8,env8,3,beyonce,2.2646
19,1,7,174.6328,36.6941,Town10,env10,1,katy,13.5861
20,1,7,174.6328,36.6941,Town10,env10,2,cow,4.3824
21,1,7,174.6328,36.6941,Town10,env10,3,grapes,18.7239
22,1,8,211.3730,14.1931,Town11,env11,1,carrot,5.6899
23,1,8,211.3730,14.1931,Town11,env11,2,johnny,3.8717
24,1,8,211.3730,14.1931,Town11,env11,3,hammer,4.6296
25,1,9,225.6134,37.4192,Town2,env2,1,paul,15.9070
26,1,9,225.6134,37.4192,Town2,env2,2,?,21.0720
27,1,9,225.6134,37.4192,Town2,env2,3,?,0.4384
28,1,10,263.0807,14.6451,Town5,env5,1,sherlock,10.6768
29,1,10,263.0807,14.6451,Town5,env5,2,watermelon,1.7364
30,1,10,263.0807,14.6451,Town5,env5,3,flamengo,2.2301
31,1,11,277.7731,15.2498,Town4,env4,1,?,14.2265
32,1,11,277.7731,15.2498,Town4,env4,2,?,0.4705
33,1,11,277.7731,15.2498,Town4,env4,3,?,0.5510
34,1,12,293.0697,27.0031,Town6,env6,1,natalie,25.5308
35,1,12,293.0697,27.0031,Town6,env6,2,?,0.9589
36,1,12,293.0697,27.0031,Town6,env6,3,?,0.5117
37,2,1,1.0010,15.1687,Town6,env6,1,Taylor,8.6156
38,2,1,1.0010,15.1687,Town6,env6,2,Tape Measure,3.1110
39,2,1,1.0010,15.1687,Town6,env6,3,Cow,3.4382
40,2,2,16.2190,9.0787,Town5,env5,1,Sherlock,4.9192
41,2,2,16.2190,9.0787,Town5,env5,2,Watermelon,1.6073
42,2,2,16.2190,9.0787,Town5,env5,3,Flamengo,2.5502
43,2,3,25.3394,7.0706,Town2,env2,1,Mark,2.6854
44,2,3,25.3394,7.0706,Town2,env2,2,Cucumber,1.8238
45,2,3,25.3394,7.0706,Town2,env2,3,Scissors,2.5597
46,2,4,32.4508,78.6228,Town1,env1,1,Zebra,10.2329
47,2,4,32.4508,78.6228,Town1,env1,2,Lettuce,54.8490
48,2,4,32.4508,78.6228,Town1,env1,3,?,13.5392
49,2,5,111.1144,11.1828,Town3,env3,1,Emma,6.3345
50,2,5,111.1144,11.1828,Town3,env3,2,Bear,1.3761
51,2,5,111.1144,11.1828,Town3,env3,3,Screwdriver,3.4704
52,2,6,122.3387,5.9919,Town8,env8,1,Dog,2.7828
53,2,6,122.3387,5.9919,Town8,env8,2,Lemon,1.7676
54,2,6,122.3387,5.9919,Town8,env8,3,Beyonce,1.4399
55,2,7,128.3714,6.7658,Town12,env12,1,Apple,2.7347
56,2,7,128.3714,6.7658,Town12,env12,2,Stapler,2.5348
57,2,7,128.3714,6.7658,Town12,env12,3,Zooey,1.4945
58,2,8,135.1791,43.5171,Town4,env4,1,?,42.5404
59,2,8,135.1791,43.5171,Town4,env4,2,?,0.4798
60,2,8,135.1791,43.5171,Town4,env4,3,?,0.4952
61,2,9,178.7387,11.5086,Town9,env9,1,Paul,6.9251
62,2,9,178.7387,11.5086,Town9,env9,2,Banana,1.9427
63,2,9,178.7387,11.5086,Town9,env9,3,Wrench,2.6390
64,2,10,190.2903,30.4864,Town7,env7,1,Sheldon,3.6210
65,2,10,190.2903,30.4864,Town7,env7,2,Drill,25.1371
66,2,10,190.2903,30.4864,Town7,env7,3,Giraffe,1.7266
67,2,11,220.8190,9.0713,Town11,env11,1,Carrot,6.1975
68,2,11,220.8190,9.0713,Town11,env11,2,Johnny,1.9519
69,2,11,220.8190,9.0713,Town11,env11,3,Hammer,0.9197
70,2,12,229.9315,9.5571,Town10,env10,1,Katy,2.0521
71,2,12,229.9315,9.5571,Town10,env10,2,Grapes,1.0313
72,2,12,229.9315,9.5571,Town10,env10,3,Duck,6.4720
