,subid,compass,generalSOD,landmark,route,survey,surveySpatial,verbalSpatial,survey_pref
0,10,12,21,6,7,10,3,3,4
1,11,4,11,8,8,5,4,3,-3
2,12,8,16,8,6,5,4,4,-3
3,13,10,17,8,8,4,2,4,-4
4,14,3,17,8,5,7,5,3,-1
5,15,9,20,6,6,9,5,2,3
6,18,11,17,5,3,10,5,1,5
7,19,11,19,10,8,4,3,2,-6
8,20,8,18,8,3,9,3,4,1
9,21,9,16,8,8,7,4,2,-1
10,22,9,19,8,7,8,4,4,0
11,23,11,20,8,6,7,4,4,-1
12,24,5,15,7,9,4,4,2,-3
13,26,6,12,8,4,4,1,5,-4
14,29,5,17,4,9,7,4,2,3
15,3,11,19,6,3,8,3,4,2
16,30,7,18,9,10,9,4,1,0
17,4,5,18,8,10,6,3,2,-2
18,5,8,18,10,7,5,3,1,-5
19,6,10,17,9,9,7,2,5,-2
20,7,5,20,6,9,7,4,3,1
21,9,10,17,7,8,5,4,4,-2
