subid,rep,run,trial,env
1,1,1,1,1
1,1,1,2,8
1,1,1,3,9
1,1,2,1,4
1,1,2,2,5
1,1,2,3,3
1,1,3,1,10
1,1,3,2,2
1,1,3,3,12
1,1,4,1,7
1,1,4,2,11
1,1,4,3,6
1,1,5,1,1
1,1,5,2,2
1,1,5,3,3
1,1,6,1,4
1,1,6,2,5
1,1,6,3,6
1,1,7,1,7
1,1,7,2,8
1,1,7,3,9
1,1,8,1,10
1,1,8,2,11
1,1,8,3,12
1,2,9,1,8
1,2,9,2,3
1,2,9,3,11
1,2,10,1,9
1,2,10,2,5
1,2,10,3,10
1,2,11,1,7
1,2,11,2,12
1,2,11,3,4
1,2,12,1,2
1,2,12,2,1
1,2,12,3,6
2,1,1,1,1
2,1,1,2,8
2,1,1,3,9
2,1,2,1,10
2,1,2,2,2
2,1,2,3,12
2,1,3,1,4
2,1,3,2,5
2,1,3,3,3
2,1,4,1,7
2,1,4,2,11
2,1,4,3,6
2,1,5,1,7
2,1,5,2,8
2,1,5,3,9
2,1,6,1,4
2,1,6,2,5
2,1,6,3,6
2,1,7,1,10
2,1,7,2,11
2,1,7,3,12
2,1,8,1,1
2,1,8,2,2
2,1,8,3,3
2,2,9,1,8
2,2,9,2,3
2,2,9,3,11
2,2,10,1,2
2,2,10,2,1
2,2,10,3,6
2,2,11,1,7
2,2,11,2,12
2,2,11,3,4
2,2,12,1,9
2,2,12,2,5
2,2,12,3,10
3,1,1,1,4
3,1,1,2,5
3,1,1,3,3
3,1,2,1,10
3,1,2,2,2
3,1,2,3,12
3,1,3,1,7
3,1,3,2,11
3,1,3,3,6
3,1,4,1,1
3,1,4,2,8
3,1,4,3,9
3,1,5,1,10
3,1,5,2,11
3,1,5,3,12
3,1,6,1,4
3,1,6,2,5
3,1,6,3,6
3,1,7,1,1
3,1,7,2,2
3,1,7,3,3
3,1,8,1,7
3,1,8,2,8
3,1,8,3,9
3,2,9,1,7
3,2,9,2,12
3,2,9,3,4
3,2,10,1,2
3,2,10,2,1
3,2,10,3,6
3,2,11,1,8
3,2,11,2,3
3,2,11,3,11
3,2,12,1,9
3,2,12,2,5
3,2,12,3,10
4,1,1,1,10
4,1,1,2,2
4,1,1,3,12
4,1,2,1,7
4,1,2,2,11
4,1,2,3,6
4,1,3,1,1
4,1,3,2,8
4,1,3,3,9
4,1,4,1,4
4,1,4,2,5
4,1,4,3,3
4,1,5,1,1
4,1,5,2,2
4,1,5,3,3
4,1,6,1,7
4,1,6,2,8
4,1,6,3,9
4,1,7,1,10
4,1,7,2,11
4,1,7,3,12
4,1,8,1,4
4,1,8,2,5
4,1,8,3,6
4,2,9,1,7
4,2,9,2,12
4,2,9,3,4
4,2,10,1,8
4,2,10,2,3
4,2,10,3,11
4,2,11,1,2
4,2,11,2,1
4,2,11,3,6
4,2,12,1,9
4,2,12,2,5
4,2,12,3,10
5,1,1,1,7
5,1,1,2,11
5,1,1,3,6
5,1,2,1,10
5,1,2,2,2
5,1,2,3,12
5,1,3,1,4
5,1,3,2,5
5,1,3,3,3
5,1,4,1,1
5,1,4,2,8
5,1,4,3,9
5,1,5,1,4
5,1,5,2,5
5,1,5,3,6
5,1,6,1,1
5,1,6,2,2
5,1,6,3,3
5,1,7,1,10
5,1,7,2,11
5,1,7,3,12
5,1,8,1,7
5,1,8,2,8
5,1,8,3,9
5,2,9,1,7
5,2,9,2,12
5,2,9,3,4
5,2,10,1,2
5,2,10,2,1
5,2,10,3,6
5,2,11,1,9
5,2,11,2,5
5,2,11,3,10
5,2,12,1,8
5,2,12,2,3
5,2,12,3,11
6,1,1,1,10
6,1,1,2,2
6,1,1,3,12
6,1,2,1,1
6,1,2,2,8
6,1,2,3,9
6,1,3,1,4
6,1,3,2,5
6,1,3,3,3
6,1,4,1,7
6,1,4,2,11
6,1,4,3,6
6,1,5,1,1
6,1,5,2,2
6,1,5,3,3
6,1,6,1,4
6,1,6,2,5
6,1,6,3,6
6,1,7,1,10
6,1,7,2,11
6,1,7,3,12
6,1,8,1,7
6,1,8,2,8
6,1,8,3,9
6,2,9,1,2
6,2,9,2,1
6,2,9,3,6
6,2,10,1,8
6,2,10,2,3
6,2,10,3,11
6,2,11,1,7
6,2,11,2,12
6,2,11,3,4
6,2,12,1,9
6,2,12,2,5
6,2,12,3,10
7,1,1,1,7
7,1,1,2,11
7,1,1,3,6
7,1,2,1,4
7,1,2,2,5
7,1,2,3,3
7,1,3,1,10
7,1,3,2,2
7,1,3,3,12
7,1,4,1,1
7,1,4,2,8
7,1,4,3,9
7,1,5,1,7
7,1,5,2,8
7,1,5,3,9
7,1,6,1,10
7,1,6,2,11
7,1,6,3,12
7,1,7,1,1
7,1,7,2,2
7,1,7,3,3
7,1,8,1,4
7,1,8,2,5
7,1,8,3,6
7,2,9,1,8
7,2,9,2,3
7,2,9,3,11
7,2,10,1,2
7,2,10,2,1
7,2,10,3,6
7,2,11,1,9
7,2,11,2,5
7,2,11,3,10
7,2,12,1,7
7,2,12,2,12
7,2,12,3,4
9,1,1,1,7
9,1,1,2,11
9,1,1,3,6
9,1,2,1,10
9,1,2,2,2
9,1,2,3,12
9,1,3,1,1
9,1,3,2,8
9,1,3,3,9
9,1,4,1,4
9,1,4,2,5
9,1,4,3,3
9,1,5,1,10
9,1,5,2,11
9,1,5,3,12
9,1,6,1,4
9,1,6,2,5
9,1,6,3,6
9,1,7,1,7
9,1,7,2,8
9,1,7,3,9
9,1,8,1,1
9,1,8,2,2
9,1,8,3,3
9,2,9,1,8
9,2,9,2,3
9,2,9,3,11
9,2,10,1,2
9,2,10,2,1
9,2,10,3,6
9,2,11,1,7
9,2,11,2,12
9,2,11,3,4
9,2,12,1,9
9,2,12,2,5
9,2,12,3,10
11,1,1,1,7
11,1,1,2,11
11,1,1,3,6
11,1,2,1,1
11,1,2,2,8
11,1,2,3,9
11,1,3,1,10
11,1,3,2,2
11,1,3,3,12
11,1,4,1,4
11,1,4,2,5
11,1,4,3,3
11,1,5,1,1
11,1,5,2,2
11,1,5,3,3
11,1,6,1,7
11,1,6,2,8
11,1,6,3,9
11,1,7,1,10
11,1,7,2,11
11,1,7,3,12
11,1,8,1,4
11,1,8,2,5
11,1,8,3,6
11,2,9,1,7
11,2,9,2,12
11,2,9,3,4
11,2,10,1,9
11,2,10,2,5
11,2,10,3,10
11,2,11,1,8
11,2,11,2,3
11,2,11,3,11
11,2,12,1,2
11,2,12,2,1
11,2,12,3,6
12,1,1,1,10
12,1,1,2,2
12,1,1,3,12
12,1,2,1,7
12,1,2,2,11
12,1,2,3,6
12,1,3,1,1
12,1,3,2,8
12,1,3,3,9
12,1,4,1,4
12,1,4,2,5
12,1,4,3,3
12,1,5,1,10
12,1,5,2,11
12,1,5,3,12
12,1,6,1,7
12,1,6,2,8
12,1,6,3,9
12,1,7,1,1
12,1,7,2,2
12,1,7,3,3
12,1,8,1,4
12,1,8,2,5
12,1,8,3,6
12,2,9,1,9
12,2,9,2,5
12,2,9,3,10
12,2,10,1,2
12,2,10,2,1
12,2,10,3,6
12,2,11,1,7
12,2,11,2,12
12,2,11,3,4
12,2,12,1,8
12,2,12,2,3
12,2,12,3,11
10,1,1,1,10
10,1,1,2,2
10,1,1,3,12
10,1,2,1,7
10,1,2,2,11
10,1,2,3,6
10,1,3,1,4
10,1,3,2,5
10,1,3,3,3
10,1,4,1,1
10,1,4,2,8
10,1,4,3,9
10,1,5,1,4
10,1,5,2,5
10,1,5,3,6
10,1,6,1,1
10,1,6,2,2
10,1,6,3,3
10,1,7,1,7
10,1,7,2,8
10,1,7,3,9
10,1,8,1,10
10,1,8,2,11
10,1,8,3,12
10,2,9,1,2
10,2,9,2,1
10,2,9,3,6
10,2,10,1,7
10,2,10,2,12
10,2,10,3,4
10,2,11,1,8
10,2,11,2,3
10,2,11,3,11
10,2,12,1,9
10,2,12,2,5
10,2,12,3,10
13,1,1,1,10
13,1,1,2,2
13,1,1,3,12
13,1,2,1,1
13,1,2,2,8
13,1,2,3,9
13,1,3,1,4
13,1,3,2,5
13,1,3,3,3
13,1,4,1,7
13,1,4,2,11
13,1,4,3,6
13,1,5,1,4
13,1,5,2,5
13,1,5,3,6
13,1,6,1,7
13,1,6,2,8
13,1,6,3,9
13,1,7,1,10
13,1,7,2,11
13,1,7,3,12
13,1,8,1,1
13,1,8,2,2
13,1,8,3,3
13,2,9,1,7
13,2,9,2,12
13,2,9,3,4
13,2,10,1,9
13,2,10,2,5
13,2,10,3,10
13,2,11,1,8
13,2,11,2,3
13,2,11,3,11
13,2,12,1,2
13,2,12,2,1
13,2,12,3,6
14,1,1,1,4
14,1,1,2,5
14,1,1,3,3
14,1,2,1,10
14,1,2,2,2
14,1,2,3,12
14,1,3,1,1
14,1,3,2,8
14,1,3,3,9
14,1,4,1,7
14,1,4,2,11
14,1,4,3,6
14,1,5,1,4
14,1,5,2,5
14,1,5,3,6
14,1,6,1,10
14,1,6,2,11
14,1,6,3,12
14,1,7,1,1
14,1,7,2,2
14,1,7,3,3
14,1,8,1,7
14,1,8,2,8
14,1,8,3,9
14,2,9,1,7
14,2,9,2,12
14,2,9,3,4
14,2,10,1,8
14,2,10,2,3
14,2,10,3,11
14,2,11,1,9
14,2,11,2,5
14,2,11,3,10
14,2,12,1,2
14,2,12,2,1
14,2,12,3,6
15,1,1,1,10
15,1,1,2,2
15,1,1,3,12
15,1,2,1,4
15,1,2,2,5
15,1,2,3,3
15,1,3,1,1
15,1,3,2,8
15,1,3,3,9
15,1,4,1,7
15,1,4,2,11
15,1,4,3,6
15,1,5,1,4
15,1,5,2,5
15,1,5,3,6
15,1,6,1,7
15,1,6,2,8
15,1,6,3,9
15,1,7,1,10
15,1,7,2,11
15,1,7,3,12
15,1,8,1,1
15,1,8,2,2
15,1,8,3,3
15,2,9,1,7
15,2,9,2,12
15,2,9,3,4
15,2,10,1,8
15,2,10,2,3
15,2,10,3,11
15,2,11,1,2
15,2,11,2,1
15,2,11,3,6
15,2,12,1,9
15,2,12,2,5
15,2,12,3,10
16,1,1,1,10
16,1,1,2,2
16,1,1,3,12
16,1,2,1,1
16,1,2,2,8
16,1,2,3,9
16,1,3,1,4
16,1,3,2,5
16,1,3,3,3
16,1,4,1,7
16,1,4,2,11
16,1,4,3,6
16,1,5,1,4
16,1,5,2,5
16,1,5,3,6
16,1,6,1,7
16,1,6,2,8
16,1,6,3,9
16,1,7,1,1
16,1,7,2,2
16,1,7,3,3
16,1,8,1,10
16,1,8,2,11
16,1,8,3,12
16,2,9,1,7
16,2,9,2,12
16,2,9,3,4
16,2,10,1,9
16,2,10,2,5
16,2,10,3,10
16,2,11,1,8
16,2,11,2,3
16,2,11,3,11
16,2,12,1,2
16,2,12,2,1
16,2,12,3,6
18,1,1,1,1
18,1,1,2,8
18,1,1,3,9
18,1,2,1,7
18,1,2,2,11
18,1,2,3,6
18,1,3,1,4
18,1,3,2,5
18,1,3,3,3
18,1,4,1,10
18,1,4,2,2
18,1,4,3,12
18,1,5,1,4
18,1,5,2,5
18,1,5,3,6
18,1,6,1,10
18,1,6,2,11
18,1,6,3,12
18,1,7,1,1
18,1,7,2,2
18,1,7,3,3
18,1,8,1,7
18,1,8,2,8
18,1,8,3,9
18,2,9,1,7
18,2,9,2,12
18,2,9,3,4
18,2,10,1,8
18,2,10,2,3
18,2,10,3,11
18,2,11,1,2
18,2,11,2,1
18,2,11,3,6
18,2,12,1,9
18,2,12,2,5
18,2,12,3,10
19,1,1,1,7
19,1,1,2,11
19,1,1,3,6
19,1,2,1,1
19,1,2,2,8
19,1,2,3,9
19,1,3,1,10
19,1,3,2,2
19,1,3,3,12
19,1,4,1,4
19,1,4,2,5
19,1,4,3,3
19,1,5,1,4
19,1,5,2,5
19,1,5,3,6
19,1,6,1,1
19,1,6,2,2
19,1,6,3,3
19,1,7,1,7
19,1,7,2,8
19,1,7,3,9
19,1,8,1,10
19,1,8,2,11
19,1,8,3,12
19,2,9,1,2
19,2,9,2,1
19,2,9,3,6
19,2,10,1,7
19,2,10,2,12
19,2,10,3,4
19,2,11,1,8
19,2,11,2,3
19,2,11,3,11
19,2,12,1,9
19,2,12,2,5
19,2,12,3,10
20,1,1,1,1
20,1,1,2,8
20,1,1,3,9
20,1,2,1,7
20,1,2,2,11
20,1,2,3,6
20,1,3,1,4
20,1,3,2,5
20,1,3,3,3
20,1,4,1,10
20,1,4,2,2
20,1,4,3,12
20,1,5,1,1
20,1,5,2,2
20,1,5,3,3
20,1,6,1,4
20,1,6,2,5
20,1,6,3,6
20,1,7,1,7
20,1,7,2,8
20,1,7,3,9
20,1,8,1,4
20,1,8,2,5
20,1,8,3,6
20,2,9,1,9
20,2,9,2,5
20,2,9,3,10
20,2,10,1,8
20,2,10,2,3
20,2,10,3,11
20,2,11,1,7
20,2,11,2,12
20,2,11,3,4
20,2,12,1,2
20,2,12,2,1
20,2,12,3,6
21,1,1,1,10
21,1,1,2,2
21,1,1,3,12
21,1,2,1,1
21,1,2,2,8
21,1,2,3,9
21,1,3,1,4
21,1,3,2,5
21,1,3,3,3
21,1,4,1,7
21,1,4,2,11
21,1,4,3,6
21,1,5,1,4
21,1,5,2,5
21,1,5,3,6
21,1,6,1,1
21,1,6,2,2
21,1,6,3,3
21,1,7,1,7
21,1,7,2,8
21,1,7,3,9
21,1,8,1,10
21,1,8,2,11
21,1,8,3,12
21,2,9,1,7
21,2,9,2,12
21,2,9,3,4
21,2,10,1,8
21,2,10,2,3
21,2,10,3,11
21,2,11,1,9
21,2,11,2,5
21,2,11,3,10
21,2,12,1,2
21,2,12,2,1
21,2,12,3,6
22,1,1,1,7
22,1,1,2,11
22,1,1,3,6
22,1,2,1,10
22,1,2,2,2
22,1,2,3,12
22,1,3,1,1
22,1,3,2,8
22,1,3,3,9
22,1,4,1,4
22,1,4,2,5
22,1,4,3,3
22,1,5,1,7
22,1,5,2,8
22,1,5,3,9
22,1,6,1,1
22,1,6,2,2
22,1,6,3,3
22,1,7,1,4
22,1,7,2,5
22,1,7,3,6
22,1,8,1,10
22,1,8,2,11
22,1,8,3,12
22,2,9,1,7
22,2,9,2,12
22,2,9,3,4
22,2,10,1,9
22,2,10,2,5
22,2,10,3,10
22,2,11,1,2
22,2,11,2,1
22,2,11,3,6
22,2,12,1,8
22,2,12,2,3
22,2,12,3,11
23,1,1,1,4
23,1,1,2,5
23,1,1,3,3
23,1,2,1,7
23,1,2,2,11
23,1,2,3,6
23,1,3,1,10
23,1,3,2,2
23,1,3,3,12
23,1,4,1,1
23,1,4,2,8
23,1,4,3,9
23,1,5,1,4
23,1,5,2,5
23,1,5,3,6
23,1,6,1,1
23,1,6,2,2
23,1,6,3,3
23,1,7,1,10
23,1,7,2,11
23,1,7,3,12
23,1,8,1,7
23,1,8,2,8
23,1,8,3,9
23,2,9,1,7
23,2,9,2,12
23,2,9,3,4
23,2,10,1,2
23,2,10,2,1
23,2,10,3,6
23,2,11,1,8
23,2,11,2,3
23,2,11,3,11
23,2,12,1,9
23,2,12,2,5
23,2,12,3,10
34,1,1,1,1
34,1,1,2,8
34,1,1,3,9
34,1,2,1,4
34,1,2,2,5
34,1,2,3,3
34,1,3,1,7
34,1,3,2,11
34,1,3,3,6
34,1,4,1,10
34,1,4,2,2
34,1,4,3,12
34,1,5,1,10
34,1,5,2,11
34,1,5,3,12
34,1,6,1,7
34,1,6,2,8
34,1,6,3,9
34,1,7,1,1
34,1,7,2,2
34,1,7,3,3
34,1,8,1,4
34,1,8,2,5
